Name,Project,🌍 Country,🏫 Primary Affiliation,🏫 Secondary Affiliation(s),🟢 ORCiD,Conceptualization,Formal analysis,Investigation,Methodology,Project administration,Writing - original draft,Writing - review & editing,LabID,Leadership Role(s),📚 Projects
Casey Lew-Williams,MB1,United States,Princeton University,,https://orcid.org/0000-0002-8781-4458,Leading,,,Leading,Leading,Leading,,babylabPrinceton,"Governing Board,MB1-Africa Lead,MB5 Lead","MB-AtHome,MB-Demographics,MB1,MB1-Africa,MB1B,MB1G,MB1L,MB2,MB3,MB3-NIRS,MB4,MB5"
Caterina Marino,MB1,France,Université Paris Cité,,https://orcid.org/0000-0002-9292-1549,Leading,,Leading,,,Leading,,lppParisDescartes2,,"MB1,MB1B"
Catherine Davies,MB1,United Kingdom,University of Leeds,,https://orcid.org/0000-0001-9347-7905,,,Leading,,,,,lcduLeeds,,"MB1,MB1L"
Charlotte Rothwell,MB1,United Kingdom,Lancaster University,,,,,Leading,,,,,,,MB1
Chloé Leservoisier,MB1,France,Université de Rennes 1,CNRS,,,,Leading,,,,,,,MB1
Christina Bergmann,MB1,Germany,"""University of Applied Sciences, Osnabrück""",Max Planck Institute for Psycholinguistics,https://orcid.org/0000-0003-2656-9070,Leading,Leading,,Leading,Leading,Leading,Leading,,"Governing Board,MB1-Meta Lead,TTOS committee","MB-AtHome,MB-AtHome-LWL,MB-AtHome-VP,MB1,MB1-Africa,MB1B,MB1L,MB1T,MB1-Meta,MB3,MB5"
Christine E. Potter,MB1,United States,University of Texas at El Paso,,https://orcid.org/0000-0002-9580-3919,,,Leading,,,,,,,"MB1,MB1B,MB1G,MB1L,MB5"
Christine Michel,MB1,Germany,Leipzig University,,https://orcid.org/0000-0001-6150-4825,,,Leading,,,,,escompicbsLeipzig,,"MB-AtHome,MB1,MB5"
Christopher Fennell,MB1,Canada,University of Ottawa,,https://orcid.org/0000-0001-9616-9385,,,Leading,,,,,ldlOttawa,,"MB1,MB1B,MB4,MB5"
Christopher M. M. Cox,MB1,Denmark,Aarhus University,,https://orcid.org/0000-0003-4076-581X,,,Leading,,,,,,"MB1-Meta Lead,TTOS committee","MB1,MB1-Meta,MB3-NIRS,MB5"
Claartje Levelt,MB1,The Netherlands,Leiden University,,https://orcid.org/0000-0003-2916-0326,Leading,,Leading,,,,,babylabLeiden,MB3 Lead,"MB1,MB1N,MB3"
Claire Delle Luche,MB1,United Kingdom,University of Essex,,,,,Leading,Leading,,,,babylablangEssex,,"MB1,MB1L"
Claire Noble,MB1,United Kingdom,University of Liverpool,,,,,Leading,,,,,lllLiv,,"MB1,MB1B,MB1G,MB1L"
Daniel Yurovsky,MB1,United States,Carnegie Mellon University,,https://orcid.org/0000-0002-8515-0029,,,Leading,Leading,,,,callab,,"MB5,MB1"
Danielle J. Kellier,MB1,United States,Stanford University,,https://orcid.org/0000-0001-7811-3468,,,,Leading,,,,,,"MB1,MB1T"
Dare Baldwin,MB1,United States,University of Oregon,,https://orcid.org/0000-0002-1997-8143,,,Leading,,,,,baldwinlabUOregon,,"MB1,MB5"
Derek M. Houston,MB1,United States,The Ohio State University,,https://orcid.org/0000-0003-1050-3034,,,Leading,,,,,bchdOSU,,MB1
Dhanya Dinakar,MB1,Australia,Western Sydney University,,,,,Leading,,,,,,,MB1
Didar Karadag,MB1,Turkey,Bogazici University,,https://orcid.org/0000-0003-3290-5229,,,Leading,,,,,,,MB1
Doroteja Rubez,MB1,United States,The Ohio State University,,,,,Leading,,,,,,,MB1
